numero_contrato;numero_controle_pncp;empresa_contratada;cnpj_contratada;objeto;orgao_contratante;municipio;uf;modalidade;link_pncp
278;13761713000110-2-000255/2026;VERSATIL EMPEENDIMENTOS LTDA;56.079.176/0001-35;Contratação de empresa de engenharia especializada para construção de Pier/Deck de madeira do Cais de Prado na Sede do Município de acordo com os projetos, especificações técnicas. e demais documentos integrantes do processo licitatório, independentemente de transcrição.;MUNICIPIO DE PRADO;Prado;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13761713000110/2026/255
79;13743281000114-2-000020/2025;CONTRATTU' S SERVICOS DE ENGENHARIA E CONSULTORIA LTDA;04.032.302/0001-00;Contratação de empresa especializada em engenharia civil para a execução das obras de construção de 25 (vinte e cinco) unidades habitacionais de interesse social, a serem implantadas no Sítio Negreiro, no Município de Salinas da Margarida – Bahia, no âmbito do Programa Minha Casa, Minha Vida – Fundo Nacional de Habitação de Interesse Social (MCMV FNHIS SUB 50), conforme Termo de Compromisso nº 970737/2024/MCIDADES/CAIXA, incluindo o fornecimento de materiais, mão de obra, equipamentos e serviços necessários à completa execução do empreendimento.;MUNICIPIO DE SALINAS DA MARGARIDA;Salinas da Margarida;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13743281000114/2025/20
73;83102335000148-2-001475/2025;CARUSO JR. ESTUDOS AMBIENTAIS & ENGENHARIA LTDA;02.550.302/0001-69;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DOS PROGRAMAS AMBIENTAIS PREVISTOS NO PLANO BÁSICO AMBIENTAL (PBA), REFERENTES À OBRA DE ALIMENTAÇÃO ARTIFICIAL DA PRAIA CENTRAL DE BALNEÁRIO PIÇARRAS/SC.;MUNICIPIO DE BALNEARIO DE PICARRAS;Balneário Piçarras;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/83102335000148/2025/1475
9;82925652000100-2-000512/2026;KAMMERS EMPREENDIMENTOS LTDA;54.481.215/0001-09;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA CONSTRUÇÃO DE 30 (TRINTA) UNIDADES DE HABITAÇÃO SOCIAL, NOS BAIRROS CARDOSO E RIBANCEIRA DO SUL, NO MUNICÍPIO DE SÃO JOÃO BATISTA, SC, CONFORME PROJETOS, MEMORIAL DESCRITIVO, PLANILHA ORÇAMENTÁRIA, CRONOGRAMA FÍSICO FINANCEIRO, ART E DEMAIS DOCUMENTOS COMPLEMENTARES, PARTE INTEGRANTE DO EDITAL.;MUNICIPIO DE SAO JOAO BATISTA;São João Batista;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/82925652000100/2026/512
24;46694147000120-2-000323/2026;FERREIRA ENGENHARIA E CONSTRUCAO LTDA;46.836.551/0001-90;"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRODUÇÃO DE 20 UNIDADES HABITACIONAIS NO BAIRRO BOSQUE DO JAGUARI,COMPREENDENDO A EXECUÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA, A MONTAGEM, A
REALIZAÇÃO DE TESTES E AS DEMAIS OPERAÇÕES NECESSÁRIAS E SUFICIENTES PARA A ENTREGA FINAL DAS UNIDADES HABITACIONAIS ÀS FAMÍLIAS BENEFICIÁRIAS, INCLUINDO A INFRAESTRUTURA ESSENCIAL NECESSÁRIA.";MUNICIPIO DE IGARATA;Igaratá;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46694147000120/2026/323
007/2025;13809397000109-2-000001/2025;CONSTRUSILVA CONSTRUÇÕES E TRANSPORTES LTDA;33.377.019/0001-00;Contratação de empresa especializada em obras e serviços de engenharia para execução da construção de Creche TIPO 2 e Escola de Educação Infantil a ser construída no Bairro Caburé, sede do Município de Ribeira do Pombal/BA, de acordo com as condições e especificações estabelecidas no TERMO DE COMPROMISSO Nº 962631/2024/FNDE/CAIXA;MUNICIPIO DE RIBEIRA DO POMBAL;Ribeira do Pombal;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13809397000109/2025/1
17;13827019000158-2-000002/2026;CONTRATTU' S SERVICOS DE ENGENHARIA E CONSULTORIA LTDA;04.032.302/0001-00;Contratação de empresa de engenharia para execução de obras/serviços de CONSTRUÇÃO DE UNIDADES HABITACIONAIS PELO PROGRAMA MINHA CASA MINHA VIDA, NO MUNICÍPIO DE DOM MACEDO COSTA – BA, ATRAVÉS DO TERMO DE COMPROMISSO COM O MINISTÉRIO DAS CIDADES. OPERAÇÃO Nº 974330/2024. Conforme projeto básico, segundo o regime de execução de empreitada por preço global.;MUNICIPIO DE DOM MACEDO COSTA;Dom Macedo Costa;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13827019000158/2026/2
1913;60509015000101-2-001398/2025;FORPLAN - COMERCIAL E CONSTRUTORA LTDA;51.490.092/0001-76;SERVIÇOS ESPECIALIZADOS DE OBRAS E SERVIÇOS DE ARQUITETURA E ENGENHARIA – AMPLIAÇÃO DE SALAS DE AULA E SERVIÇOS COMPLEMENTARES;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1398
39;53415717000160-2-000043/2025;RAMON AGUILERA PARTICIPAÇÕES E EMPREENDIMENTOS LTDA;11.823.795/0001-54;Contratação de empresa especializada para executar obras e serviços de engenharia, com fornecimento de materiais e mão de obra, e as demais operações necessárias e suficientes para a entrega final da construção de unidades de saúde no município de Ourinhos-SP;MUNICIPIO DE OURINHOS;Ourinhos;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/53415717000160/2025/43
199;13904420000144-2-000190/2025;GLOBAL CONSTRUCOES SERVICOS E MANUTENCOES LTDA;23.694.541/0001-62;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DE OBRA PARA REFORMA E AMPLIAÇÃO DO ESTADIO MUNICIPAL DE NOVA SOURE, ESTADO DA BAHIA.;MUNICIPIO DE NOVA SOURE;Nova Soure;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13904420000144/2025/190
