numero_contrato;numero_controle_pncp;empresa_contratada;cnpj_contratada;objeto;orgao_contratante;municipio;uf;modalidade;link_pncp
656;46374500000194-2-019610/2025;CAMALEAO ENGENHARIA LTDA;41.569.982/0001-14;SERVIÇOS DE RECUPERAÇÃO, ADEQUAÇÃO E REPARAÇÃO DE BENS IMÓVEIS E INFRAESTRUTURAS DA FUNDAÇÃO;SECRETARIA DE ESTADO DA SAUDE;Guarulhos;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/46374500000194/2025/19610
42;96291141000180-2-007859/2025;NOBRE CORREIA ENGENHARIA E CONSTRUCAO LTDA;11.517.376/0001-94;EXECUÇÃO DE OBRAS E SERVIÇOS DE REFORMA DA SEDE.;SAO PAULO SECRETARIA DA ADMINISTRACAO PENITENCIARIA;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/96291141000180/2025/7859
413;13646005000138-2-000318/2025;GP ENGENHARIA E TOPOGRAFIA LTDA ;26.519.752/0001-57;a CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS GEOTÉCNICOS, TOPOGRAFICOS E ELABORAÇÃO DE ARTEFATOS PARA O PLANEJAMENTO DE CONTRATAÇÃO DE OBRAS, COMPREENDENDO O PROGRAMA DE NECESSIDADES, O ESTUDO DE VIABILIDADE, O ANTEPROJETO, O PROJETO BÁSICO E O PROJETO EXECUTIVO PARA IMPLANTAÇÃO DE PROJETOS ESTRUTURANTES NO MUNÍCIPIO DE ALAGOINHAS NO ESTADO DA BAHIA;MUNICIPIO DE ALAGOINHAS;Alagoinhas;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13646005000138/2025/318
20;82892324000146-2-000054/2026;CONQUISTAR SERVICOS E CONTRUCAO LTDA;28.468.873/0001-42;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM EXECUÇÃO DE OBRAS DE ENGENHARIA, PAVIMENTAÇÃO, DRENAGEM, CALÇADAS, CICLOVIA, REFORMA DO PORTAL DE ENTRADA DA CIDADE E SINALIZAÇÃO VIÁRIA, PARA REVITALIZAÇÃO URBANA DAS RUAS INTENDENTE LEOPOLDO BROERING, RUA NATIVIDADE E RUA SANTANA, LOCALIZADAS NOS BAIRROS VILA BECKER E CENTRO, SANTO AMARO DA IMPERATRIZ/SC, INCLUINDO FORNECIMENTO DE MATERIAIS, MÃO DE OBRA, EQUIPAMENTOS, INSUMOS E DEMAIS SERVIÇOS NECESSÁRIOS, PARA ATENDER A DEMANDA DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA.;MUNICIPIO DE SANTO AMARO DA IMPERATRIZ;Santo Amaro da Imperatriz;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/82892324000146/2026/54
jan/26;44733608000109-2-000002/2026;Corpus Saneamento e Obras Ltda.;31.733.363/0008-36;Contratação de empresa de engenharia para prestação de serviços de manutenção predial e zeladoria em infraestruturas de prédios públicos, com vigência do contrato de 12 (doze) meses.;MUNICIPIO DE INDAIATUBA;Indaiatuba;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/44733608000109/2026/2
116;49269236000117-2-000092/2025;PENTAGONO SERVICOS DE ENGENHARIA CIVIL E CONSULTORIA LTDA;47.026.679/0001-51;"CONTRATAÇÃO DE EMPRESA PARA MONITORAMENTO TÉCNICO “IN LOCO” DAS OBRAS E SERVIÇOS DE INFRAESTRUTURA URBANA REALIZADOS POR CONCESSIONÁRIAS E PERMISSIONÁRIAS NAS VIAS PÚBLICAS DO MUNICÍPIO DE SÃO PAULO, COM APOIO DE SISTEMA INFORMATIZADO DE OTIMIZAÇÃO QUE POSSIBILITE O REGISTRO, O CONTROLE E A ANÁLISE DAS INTERVENÇÕES, ASSEGURANDO A CONFORMIDADE COM AS NORMAS
TÉCNICAS E REGULAMENTAÇÕES MUNICIPAIS VIGENTES.";SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/49269236000117/2025/92
117;49269236000117-2-000093/2025;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;33.146.648/0001-20;"CONTRATAÇÃO DE EMPRESA PARA MONITORAMENTO TÉCNICO “IN LOCO” DAS OBRAS E SERVIÇOS DE INFRAESTRUTURA URBANA REALIZADOS POR CONCESSIONÁRIAS E PERMISSIONÁRIAS NAS VIAS PÚBLICAS DO MUNICÍPIO DE SÃO PAULO, COM APOIO DE SISTEMA INFORMATIZADO DE OTIMIZAÇÃO QUE POSSIBILITE O REGISTRO, O CONTROLE E A ANÁLISE DAS INTERVENÇÕES, ASSEGURANDO A CONFORMIDADE COM AS NORMAS
TÉCNICAS E REGULAMENTAÇÕES MUNICIPAIS VIGENTES.";SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/49269236000117/2025/93
43;83102806000118-2-001074/2025;TERRABASE TERRAPLENAGEM LTDA;12.535.370/0001-02;CONTRATAÇÃO DE PESSOA(S) JURÍDICA(S) PARA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA COM FORNECIMENTO DE MATERIAIS, EQUIPAMENTOS E MÃO DE OBRA PARA A OBRA DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM E SINALIZAÇÃO (LOTE 01) E PAVIMENTAÇÃO EM LAJOTAS SEXTAVADAS, DRENAGEM E SINALIZAÇÃO (LOTE 02), EM CONFORMIDADE COM O PROJETO BÁSICO, MEMORIAL DESCRITIVO E DEMAIS ANEXOS DO EDITAL;MUNICIPIO DE RIO DOS CEDROS;Rio dos Cedros;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/83102806000118/2025/1074
1450;60509015000101-2-000801/2025;JNB CONSTRUCOES E SERVICOS LTDA;47.061.699/0001-63;SERVIÇOS ESPECIALIZADOS DE OBRAS E SERVIÇOS DE ARQUITETURA E ENGENHARIA – REFORMA DO PRÉDIO ESCOLAR;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/801
286;82777301000190-2-002880/2025;CONSTRUTORA D. BRANGER LTDA;34.448.864/0001-92;Contratação de Empresa de engenharia/arquitetura para execução dos serviços de terraplanagem, drenagem e obras correntes, pavimentação em asfalto, urbanísticos e sinalização para AV. Aristeu Rodolfo, Rua Clélio Miola e Rua Heliodoro Muniz – Bairro Área Industrial, no município de Lages-SC;MUNICIPIO DE LAGES;Lages;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/82777301000190/2025/2880
16601;46319000000150-2-001063/2025;REP ENGENHARIA E SERVICOS LTDA;36.157.982/0001-77;Elaboração de estudos, projetos e execução de obras de construção da UBS Acácio;MUNICIPIO DE GUARULHOS;Guarulhos;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46319000000150/2025/1063
22915;43052497000102-2-000023/2026;DGB ENGENHARIA E CONSTRUCOES LTDA;61.608.477/0001-49;CONTRATAÇÃO DAS OBRAS E SERVIÇOS DE INTERVENÇÃO E MELHORIAS DO DISPOSITIVO LOCALIZADO NO TRECHO ENTRE O KM 10 E KM 12, DA RODOVIA SP 379, MUNICÍPIO DE IBIRÁ;DEPARTAMENTO DE ESTRADAS DE RODAGEM;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/43052497000102/2026/23
097-2025;13892187000127-2-000058/2025;Empresa ECOLOGICO, LOCAÇÃO E SERVIÇOS TERRAPLANAGEM LTDA;10.516.833/0001-63;Contratação de empresa de engenharia para execução de obras/serviços de PAVIMENTAÇÃO E TRATAMENTO PRIMÁRIO DE ESTRADAS RURAIS NO MUNICÍPIO DE NOVA ITARANA - BAHIA;MUNICIPIO DE NOVA ITARANA;Nova Itarana;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13892187000127/2025/58
SCL005;45141132000171-2-000016/2026;Construmedici Engenharia e Comércio Ltda.;46.044.392/0001-91;Execução das obras de construção de 40 (quarenta) unidades habitacionais no município de José Bonifácio, a serem implantadas nas Ruas Elias Jorge Fagali e Abílio Catelan, no loteamento Luiz Antônio Capobianco, no âmbito do Programa Minha Casa Minha Vida – FNHIS – Sub50, vinculado ao Programa de Aceleração do Crescimento – PAC do Governo Federal, mediante Termo de Compromisso nº 992002/2025, Operação nº 1106385-82, firmado entre a União, por intermédio do Ministério das Cidades, representado pela Caixa Econômica Federal e o Município de José Bonifácio, de acordo com os documentos elaborados pelo Serviço de Obras e Engenharia Municipal;MUNICIPIO DE JOSE BONIFACIO;José Bonifácio;SP;Concorrência - Presencial;https://pncp.gov.br/contratos/45141132000171/2026/16
31;46377800000127-2-009495/2025;LMM ENGENHARIA E SERVICOS LTDA;44.626.011/0001-57;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA EXECUÇÃO DE OBRAS PARA REFORMA E ADEQUAÇÃO DO CENTRO DE OPERAÇÕES DA POLÍCIA MILITAR (COPOM), DO COMANDO DE POLICIAMENTO DO INTERIOR SETE (CPI7), CONFORME DETALHAMENTO E ESPECIFICAÇÕES TÉCNICAS DESTE INSTRUMENTO, DO TERMO DE REFERÊNCIA Nº SSP-003/NTE/24 E SEUS APENSOS.;SAO PAULO SECRETARIA DA SEGURANCA PUBLICA;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46377800000127/2025/9495
2183;60509015000101-2-001478/2025;LOPES STAUDT ENGENHARIA LTDA;34.998.767/0001-73;Serviços Especializados de Obras e Serviços de Arquitetura e Engenharia – AMPLIAÇÃO DE SALAS DE AULA E SERVIÇOS COMPLEMENTARES,;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1478
1190;60509015000101-2-000674/2025;CONSTRUMIK COMERCIO E CONSTRUCAO LTDA;58.092.891/0001-33;SERVIÇOS ESPECIALIZADOS DE ENGENHARIA – AMPLIAÇÃO (CONSTRUÇÃO) / SERVIÇOS COMPLEMENTARES DE PRÉDIOS ESCOLARES;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/674
119;67995027000132-2-000059/2025;CONSÓCIO SUPERVISOR  MPO ;60.332.043/0001-04;Contratação de empresa de engenharia especializada para a prestação de serviços técnicos para apoio ao Gerenciamento e Supervisão de Obras do “Programa de Desenvolvimento Urbano Sustentável, Preservação Ambiental e Modernização do Município de Hortolândia – PDUSPAM/Hortolândia-SP”.;MUNICIPIO DE HORTOLANDIA;Hortolândia;SP;Concorrência - Presencial;https://pncp.gov.br/contratos/67995027000132/2025/59
128;13904420000144-2-000124/2025;PRISA LOCACAO E SERVICOS - LTDA;01.879.922/0001-83;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DE OBRA PARA CONSTRUÇÃO DE CRECHE PRÓ INFÂNCIA 01 PADRÃO FNDE NO MUNICIPIO DE NOVA SOURE, ESTADO DA BAHIA.;MUNICIPIO DE NOVA SOURE;Nova Soure;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13904420000144/2025/124
16401;46319000000150-2-000603/2025;REP ENGENHARIA E SERVICOS LTDA;36.157.982/0001-77;ELABORAÇÃO DE ESTUDOS, PROJETOS E EXECUÇÃO DE OBRAS DE CONSTRUÇÃO DA UBS BANANAL.;MUNICIPIO DE GUARULHOS;Guarulhos;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46319000000150/2025/603
655;46374500000194-2-019762/2025;GFK ENGENHARIA LTDA;10.943.754/0001-39;MANUTENÇÃO E REPARAÇÃO DA ÁREA DE SÓLIDOS 1 E CENTRAL DE PESAGEM 2 DA FURP;SECRETARIA DE ESTADO DA SAUDE;Guarulhos;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/46374500000194/2025/19762
184;13825484000150-2-000140/2025;CONSTRUTORA JOTAELE LTDA;01.237.632/0001-36;"contratação de empresa de engenharia para execução de obras/serviços de PAVIMENTAÇÃO ASFÁLTICA 
DE ESTRADAS VICINAIS, DISTRITOS E POVOADOS NO MUNICÍPIO DE AMARGOSA/BA, conforme necessidade, de acordo com os quantitativos descritos no instrumento de Projeto Básico, pelo tipo de licitação maior desconto, mediante Sistema de Registro de Preços, conforme especificado nos Anexos, partes integrantes da Concorrência Pública Eletrônica nº 002/2025 e na proposta da CONTRATADA";MUNICIPIO DE AMARGOSA;Amargosa;BA;Credenciamento;https://pncp.gov.br/contratos/13825484000150/2025/140
58;83102459000123-2-000547/2026;INFRASUL - INFRAESTRUTURA E EMPREENDIMENTOS LTDA;03.094.645/0001-29;"Contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços preliminares, terraplenagem, drenagem pluvial, obras complementares e sinalização viária, na Estrada Municipal JGS 489 – Erico Oto Hornburg (Rota Cênica) na localidade Rio da Luz Vitória, com extensão total de 3.397,18 m (três mil trezentos e noventa e sete virgula dezoito metros), em
conformidade com o Estudo Técnico Preliminar, Projetos, Memorial Descritivo (Termo de Referência) e Planilha Orçamentária/Quantitativa. SEI: 0206020300.000016/2026-40";MUNICIPIO DE JARAGUA DO SUL;Jaraguá do Sul;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/83102459000123/2026/547
64;82892308000153-2-000626/2025;CONSTRUCOES SCHOROEDER LTDA;10.249.046/0001-00;Obras e Serviços de Engenharia para pavimentação asfáltica, drenagem pluvial, passeio público e sinalização da Rua 7 de Setembro e Rua Justino Adalberto Leal.;MUNICIPIO DE BIGUACU;Biguaçu;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/82892308000153/2025/626
1836;60509015000101-2-001353/2025;S FIGUEIREDO CONSTRUTORA LTDA;62.371.489/0001-65;SERVIÇOS ESPECIALIZADOS DE OBRAS E SERVIÇOS DE ARQUITETURA E ENGENHARIA – AMPLIAÇÃO DE SALAS DE AULA E SERVIÇOS COMPLEMENTARES;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1353
1952;60509015000101-2-001403/2025;STAGLIORIO ENGENHARIA LTDA;34.108.779/0001-85;SERVIÇOS ESPECIALIZADOS DE OBRAS E SERVIÇOS DE ARQUITETURA E ENGENHARIA – AMPLIAÇÃO DE SALAS DE AULA E SERVIÇOS COMPLEMENTARES;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1403
CO-1297;44477909000100-2-000036/2025;BHO CONSTRUTORA LTDA;34.715.617/0001-05;Contratação de empresa especializada em obras e serviços de engenharia, com execução de todas as etapas e ações necessárias requeridas para a construção de uma escola de educação infantil, EMEI Firenze, Marília/SP - FNDE - creche tipo 1, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;MUNICIPIO DE MARILIA;Marília;SP;Concorrência - Presencial;https://pncp.gov.br/contratos/44477909000100/2025/36
22;83102459000123-2-000177/2026;PAVIPLAN PAVIMENTACAO LTDA.;03.620.927/0001-12;Contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços preliminares, terraplenagem, drenagem pluvial, obras complementares e sinalização viária, na Rua 849 – Alfredo Emilio Ernesto Benkendorf, no Bairro Santo Antonio, com extensão total de 2.336,60 m (dois mil trezentos e trinta e seis metros e sessenta centímetros), em conformidade com o Estudo Técnico Preliminar, Projetos, Memorial Descritivo (Termo de Referência) e Planilha Orçamentária/Quantitativa. SEI: 0206020000.000073/2026-11;MUNICIPIO DE JARAGUA DO SUL;Jaraguá do Sul;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/83102459000123/2026/177
1;14105209000124-2-000021/2024;LINS SERVICOS LTDA;37.508.134/0001-28;Contratação de empresa de engenharia para execução de Reforma e Ampliação do Hospital Municipal de Carinhanha – Bahia, em consonância com o Termo de Convênio nº 042/2024 firmado com a SESAB, sob o regime de empreitada de menor preço global, conforme condições, quantidades e exigências estabelecidas no Termo de Referencia.;MUNICIPIO DE CARINHANHA;Carinhanha;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/14105209000124/2024/21
9077-0/2025;45685872000179-2-002270/2025;EPCCO - ENGENHARIA DE PROJETOS, CONSULTORIA E CONSTRUÇÕES LTDA.;61.106.159/0001-80;"REGISTRO DE PREÇOS PELO PERÍODO DE 12 (DOZE) MESES, OBJETIVANDO A CONTRATAÇÃO DE EMPRESA 
VISANDO A EXECUÇÃO DE SERVIÇOS DE RECAPEAMENTO ASFÁLTICO EM DIVERSAS RUAS DO MUNICÍPIO. SECRETARIA MUNICIPAL DE PLANEJAMENTO, OBRAS E MEIO AMBIENTE.";MUNICIPIO DE REGISTRO;Registro;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/45685872000179/2025/2270
65;86843596000107-2-000004/2024;W C CONSTRUTORA LTDA;48.727.071/0001-17;Contratação de empresa especializada em obras serviços de engenharia para a total execução (compreendendo material e mão de obra) da obra de ampliação, reformulação e reforma do Ginásio do Complexo Esportivo, sito a rua Gustavo Piske nº 400, bairro Padre Martinho Stein, Timbó/ SC, área do projeto de 3.158,66 m² - Segunda Etapa, em plena e total conformidade com os memoriais descritivos, projetos, quantitativos, orçamentos estimativos, cronogramas físico-financeiros e demais documentos relacionados, com pagamento mediante contrato de financiamento nº 0610248-07 (FINISA).;FUNDACAO MUNICIPAL DE ESPORTES;Timbó;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/86843596000107/2024/4
216;13825484000150-2-000223/2025;CONSTRUTORA JOTAELE LTDA;01.237.632/0001-36;Contratação de empresa de engenharia para execução de obras/serviços de pavimentação asfáltica de estradas vicinais, distritos e povoados no Município de Amargosa/BA, conforme Projeto Básico, Concorrência Pública Eletrônica nº 002/2025.;MUNICIPIO DE AMARGOSA;Amargosa;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13825484000150/2025/223
22830;43052497000102-2-000092/2025;ROCHASSOLO ENGENHARIA LTDA;23.485.712/0001-43;CONTRATAÇÃO DE OBRAS E SERVIÇOS DE CORREÇÃO E PROTEÇÃO DE TALUDE NO KM 087+300M (LE) DA SP 055, MUNICÍPIO DE CARAGUATATUBA;DEPARTAMENTO DE ESTRADAS DE RODAGEM;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/43052497000102/2025/92
282;13828397000156-2-000168/2025;SIPEL CONSTRUCOES LTDA;42.272.740/0001-27;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DOS SERVIÇOS DE ENGENHARIA PARA AS OBRAS DE CONSTRUÇÃO DE CRECHE E ESCOLA DE EDUCAÇÃO INFANTIL, NA COMUNIDADE DE MURUTUBA, CACHOEIRA/BA - FNDE - CRECHE TIPO1, CONFORME CONVÊNIO FIRMADO COM O MINISTERIO DA EDUCAÇÃO, NÚMERO 958962/2024, CELEBRADO COM A CAIXA ECONOMICA FEDERAL O CONTRATO DE REPASSE NÚMERO 1093456-49/2024;MUNICIPIO DE CACHOEIRA;Cachoeira;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13828397000156/2025/168
169;45735552000186-2-000163/2025;R.MALUF ENGENHARIA & CONSTRUCOES LTDA;64.141.708/0001-45;OBRAS EM SERVIÇOS DE ENGENHARIA | OBRAS EM SERVIÇOS DE ENGENHARIA (Convênio);MUNICIPIO DE ARTUR NOGUEIRA;Artur Nogueira;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/45735552000186/2025/163
91;13825484000150-2-000088/2025;Construsete Construtora LTDA;13.438.063/0001-76;"Contratação de empresa de engenharia para execução de obras/serviços de CONSTRUÇÃO DE CRECHE TIPO I (MODELO FNDE) NO MUNICÍPIO DE AMARGOSA   BA, Conforme Termo de Compromisso n° 959010/2024/FNDE/CAIXA, através do NOVO PAC, Conforme Termo de Compromisso n° 959010/2024/FNDE/CAIXA, através do NOVO PAC, descritos no instrumento de projeto
básico, pelo tipo de licitação menor preço, segundo o regime de execução de empreitada por preço global, conforme especificado nos Anexos, partes integrantes da Concorrência Pública nº 023/2024 e na proposta da CONTRATADA";MUNICIPIO DE AMARGOSA;Amargosa;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13825484000150/2025/88
259;13885231000171-2-000249/2025;CONSTRUTORA RDL LTDA;18.495.626/0001-81;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DOS SERVIÇOS DE ENGENHARIA COMUM, CONSISTENTES EM MANUTENÇÕES DIVERSAS, QUANDO NECESSÁRIO, NAS PRAÇAS MUNICIPAIS E NOS CEMITÉRIOS MUNICIPAIS LOCALIZADOS EM TODO O TERRITÓRIO DO MUNICÍPIO DE (SEDE, ASSENTAMENTOS, DISTRITOS E POVOADOS).;MUNICIPIO DE ESPLANADA;Esplanada;BA;Pregão - Eletrônico;https://pncp.gov.br/contratos/13885231000171/2025/249
SCL001;45141132000171-2-000002/2026;LGR Construtora Ltda.;14.173.369/0001-00;Execução das obras de construção de Ginásio de Esporte, na Avenida Leonel Guilherme Pereira nº. 1635, bairro Jardim Veneza, mediante Convênio nº. 100988/2025, firmado entre o Município de José Bonifácio e o Governo do Estado de São Paulo, por intermédio da Secretaria de Governo e Relações Institucionais, de acordo com os documentos elaborados pelo Serviço Municipal de Engenharia;MUNICIPIO DE JOSE BONIFACIO;José Bonifácio;SP;Concorrência - Presencial;https://pncp.gov.br/contratos/45141132000171/2026/2
82;49576416000141-2-000022/2025;CONSTRUTORA ALPHA VITÓRIA LTDA;06.122.379/0001-99;Constitui o objeto do presente instrumento a contratação para obras e serviços comuns de engenharia de empresa especializada no ramo da construção civil, visando a construção da UBS Tipo I da “Unidade Básica de Saúde de Penápolis – UBS Jardim Tóquio”, Novo PAC, nas condições estabelecidas no Termo de Referência da a Concorrência Eletrônica nº 003/2025 – Processo nº 023/2025 – Edital nº 3.004/2025.;MUNICIPIO DE PENAPOLIS;Penápolis;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/49576416000141/2025/22
1;00394452000103-2-000144/2026;LD ENGENHARIA E SERVICOS LTDA;08.886.987/0001-03;CONSTRUÇÃO DA CIDADE CENOGRÁFICA DO CENTRO DE INSTRUÇÃO DE OPERAÇÕES URBANAS (CIOU), DO 28° BATALHÃO DE INFANTARIA MECANIZADO (28° BIMEC) – 1ª FASE, SITUADO NA AVENIDA SOLDADO PASSARINHO – JARDIM CHAPADÃO – CAMPINAS/SP;COMANDO DO EXERCITO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/00394452000103/2026/144
64;83102418000137-2-000594/2026;CONSTRUÇÃO CIVIL M G LTDA;06.145.928/0001-40;O objeto da presente licitação é a Contratação de empresa especializada para fornecimento de material e mão de obra para execução de obra e serviços de engenharia em estradas vicinais, compreendendo a obra de pavimentação asfáltica da Estrada Geral Rafael, em aproximadamente 3.350 metros de extensão, em conformidade com o convênio nº 984647/2025, firmado com o Ministério da Agricultura e Pecuária / MAPA.;MUNICIPIO DE IBIRAMA;Ibirama;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/83102418000137/2026/594
294;83102434000120-2-001599/2025;PENASCAL ENGENHARIA E CONSTRUÇÃO LTDA.;67.718.874/0001-50;CONCORRÊNCIA PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DE SERVIÇOS DE DESASSOREAMENTO, LIMPEZA E MELHORAMENTO FLUVIAL EM UM TRECHO DE APROXIMADAMENTE 4,6 QUILÔMETROS DOS RIOS DOS ÍNDIOS E KRAUEL, INCLUINDO A REMOÇÃO DE SEDIMENTOS, VEGETAÇÃO E A DESTINAÇÃO CORRETA DO MATERIAL DRAGADO, CONFORME ESPECIFICAÇÕES TÉCNICAS DETALHADAS NESTE TERMO DE REFERÊNCIA E NOS DOCUMENTOS ANEXOS.;MUNICIPIO DE PRESIDENTE GETULIO;Presidente Getúlio;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/83102434000120/2025/1599
1954;60509015000101-2-001805/2025;UTGARD OBRAS E SERVICOS LTDA;53.326.728/0001-74;Serviços Especializados de Obras e Serviços de Arquitetura e Engenharia – AMPLIAÇÃO DE SALAS DE AULA E SERVIÇOS COMPLEMENTARES,;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1805
17;49413800000123-2-000022/2025;R-10 ENGENHARIA LTDA-ME;13.809.667/0001-81;"O objeto contempla a execução de serviços de construção de 2100 sepulturas em peças pré-fabricadas em 
pedra ardósia, bem como o fornecimento de materiais básicos e equipamentos necessários para a execução das 
obras";SETEC SERVICOS TECNICOS GERAIS;Campinas;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/49413800000123/2025/22
605;13988308000139-2-000399/2025;INOVA EMPREENDIMENTOS E SERVIÇOS LTDA;41.122.031/0001-00;Contratação de empresa especializada na área de engenharia e construção civil para execução de obras de Construção da Creche Municipal do distrito de Quicé, pertencente à cidade de Senhor do Bonfim – BA.;MUNICIPIO DE SENHOR DO BONFIM;Senhor do Bonfim;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13988308000139/2025/399
1;45685120000108-2-000001/2026;EPCCO ENGENHARIA DE PRO;61.106.159/0001-80;"contratação de empresa para OBRAS E PRESTAÇÃO DE SERVIÇOS
COMUNS DE ENGENHARIA para pavimentação asfáltica, terraplanagem, drenagem e obras complementares
em diversas ruas (Rua Constantino Dias Rosa, Rua Aquino Rangel, Rua Fernando Clemente Zanella, Rua
Gianinno Bertazoni, Rua Baldevino Guatura, Rua Veronica Redis Pereira, Rua Candido Zanella, Rua José de
Oliveira Lacerda, Rua Marcelo Kozikoski, Rua Orlando Pereira, Rua Máximo Zanella, Rua Angelo Rossini, Rua
Santina Flórido Adrião e Rua Imigrantes Italianos) perímetro urbano - Pariquera-Açu/SP, em atendimento ao
convênio 100463/2025, proc. SGRI-PRC-2024-00656-DM,";MUNICIPIO DE PARIQUERA-ACU;Pariquera-Açu;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/45685120000108/2026/1
1;50122571000177-2-000001/2026;Engema Contruções e Serviços ltda;02.016.712/0001-24;Contratação de empresa para execução de REMANESCENTE DE OBRAS DE INFRAESTRUTURA NO LOTEAMENTO VIVENDAS DO ENGENHO D’ÁGUA.;MUNICIPIO DE ITATIBA;Itatiba;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/50122571000177/2026/1
505;82911249000113-2-000764/2025;EVOX ENGENHARIA LTDA;24.436.922/0001-04;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DA OBRAS DE REFORMA GERAL DE UM PRÉDIO COM 2.316,29 M² (ANTIGO UCCA), PARA FUTURAS INSTALAÇÕES DO CENTRO EDUCACIONAL DE ATENDIMENTO HANS GABRIEL VIEIRA PROHMANN, LOCALIZADO NA RUA JOSÉ FRANCISCO ALVES, BAIRRO NOVA DIVINEIA NO MUNICÍPIO DE ARARANGUÁ SC.;MUNICIPIO DE ARARANGUA;Araranguá;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/82911249000113/2025/764
